method,k,fraction,coverage,quality,redundancy
EgoSelect,44,0.55,1.0,0.9982220880176311,0.6071874069869932
EgoSelect,45,0.5625,1.0,0.9982529455846105,0.6104051646316413
EgoSelect,46,0.575,1.0,0.9982780012650234,0.6174114122587059
EgoSelect,47,0.5875,1.0,0.9983146395359804,0.6252500968829074
EgoSelect,48,0.6,1.0,0.9983443781036483,0.6310317221913194
EgoSelect,49,0.6125,1.0,0.998355909080577,0.637471890906723
EgoSelect,50,0.625,1.0,0.9982155632870253,0.6391196719804256
EgoSelect,51,0.6375,1.0,0.9981529075505022,0.6423449500731807
EgoSelect,52,0.65,1.0,0.9979017954495267,0.6364232323916487
EgoSelect,53,0.6625,1.0,0.9979236066475493,0.6403161231522825
EgoSelect,54,0.675,1.0,0.9979543251419505,0.6483847133429654
EgoSelect,55,0.6875,1.0,0.9978467042462676,0.6501132894545235
EgoSelect,56,0.7,1.0,0.9978851559561556,0.6572122492545931
EgoSelect,57,0.7125,1.0,0.9978260975788875,0.6596265109239651
EgoSelect,58,0.725,1.0,0.9977611196387202,0.6598860314149315
EgoSelect,59,0.7375,1.0,0.9977433129722298,0.6725407121790012
EgoSelect,60,0.75,1.0,0.9977765668529716,0.6806823969790042
EgoSelect,61,0.7625,1.0,0.997745397748973,0.6841566840914529
EgoSelect,62,0.775,1.0,0.9977062961871739,0.6846272518147659
EgoSelect,63,0.7875,1.0,0.9976510162459344,0.6851701160728172
EgoSelect,64,0.8,1.0,0.9975749183149528,0.6868544739459619
EgoSelect,65,0.8125,1.0,0.9975942385711319,0.6953747481403384
EgoSelect,66,0.825,1.0,0.9974766062969418,0.6941997593244299
EgoSelect,67,0.8375,1.0,0.9972768621731068,0.6901806415166243
EgoSelect,68,0.85,1.0,0.9972373870725022,0.6916568082993806
EgoSelect,69,0.8625,1.0,0.9971527446341112,0.6917709078806288
EgoSelect,70,0.875,1.0,0.997140058366229,0.7000913883104227
EgoSelect,71,0.8875,1.0,0.9970757513107291,0.705057947476183
EgoSelect,72,0.9,1.0,0.9970000376186666,0.7078199501028437
EgoSelect,73,0.9125,1.0,0.9968358106761253,0.7089950637559593
EgoSelect,74,0.925,1.0,0.9968077147400883,0.7155834277060165
EgoSelect,75,0.9375,1.0,0.9967386034166503,0.718006811473494
EgoSelect,76,0.95,1.0,0.996587549179874,0.7191257242655901
EgoSelect,77,0.9625,1.0,0.9963325001652741,0.7165523987759838
EgoSelect,78,0.975,1.0,0.9961107664077801,0.7144898673822561
EgoSelect,79,0.9875,1.0,0.996030868739007,0.7221687844083738
EgoSelect,80,1.0,1.0,0.9957156180149047,0.7216681152708333
Dedup-only,1,0.0125,0.16666666666666666,1.0,0.0
Dedup-only,2,0.025,0.3333333333333333,0.9956693097014926,-0.4866853074423584
Dedup-only,3,0.0375,0.5,0.992199033608211,-0.16138301104055905
Dedup-only,4,0.05,0.6666666666666666,0.9938569589478063,-0.11470154796446225
Dedup-only,5,0.0625,0.8333333333333334,0.9948985167985329,-0.050559556035050815
Dedup-only,6,0.075,0.8333333333333334,0.995338622313468,-0.01366289511245126
Dedup-only,7,0.0875,1.0,0.9954709199661658,0.022143569461247074
Dedup-only,8,0.1,1.0,0.9957198557222747,0.05387562846667186
Dedup-only,9,0.1125,1.0,0.9952395449557474,0.0876333044190912
Dedup-only,10,0.125,1.0,0.9957122482141834,0.11159259341983918
